Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),BMI,Gender_Male,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga,Experience_Level
31,-1.2014610716230907,-1.7029748020927113,195,131,60,0.6582442139115023,969.0,28.2,2.0,2,21.4,False,False,False,False,1
26,-1.4194500533282546,-0.9815666005676585,186,136,61,-0.5341073082627346,734.0,34.7,2.0,3,17.3,False,False,False,False,1
43,1.9182034665574792,0.8620321366630301,161,134,63,0.5688178497484345,962.0,29.9,2.9,4,33.8,True,False,False,True,2
19,-0.6346897191896641,-1.0617230674037754,184,128,53,-0.3552545799365995,730.0,30.1,2.2,2,23.93,False,False,False,False,1
37,2.451065421836769,-0.09984546537037356,168,158,50,0.7178617900202143,1304.0,29.3,2.8,2,40.1,True,True,False,False,1
45,-1.0270698862589593,1.0223450703352641,186,161,73,-0.17640185161046373,956.0,25.2,2.5,3,15.31,True,False,True,False,1
24,-0.9156532956096531,0.14062393513797736,160,167,53,-1.249518221567277,772.0,22.9,3.6,3,18.07,True,False,False,True,1
25,0.7023093686020083,1.823909738696432,182,131,68,0.4495826975310107,1016.0,22.7,3.0,2,23.17,True,False,False,False,1
52,-0.6734433159372486,-0.09984546537037356,169,151,58,-0.08697548744739586,836.0,34.3,2.0,3,20.42,False,False,True,False,1
31,0.29539660275236923,-1.4625054015843604,184,144,59,-0.6831512485345144,742.0,26.7,2.3,4,33.61,False,False,False,False,2
34,-1.0948886805672327,-0.8212536668954246,162,158,53,0.47939148558536665,1122.0,30.8,2.4,3,19.43,False,False,False,True,2
53,0.5133855844575332,0.3009368688102113,165,137,69,1.2246111869442649,1133.0,12.8,3.5,5,27.18,True,False,False,False,3
57,2.3493372303743585,1.3429709376797303,165,134,58,-0.3850633679909554,750.0,27.4,3.6,3,34.18,True,False,False,False,1
21,1.1189105336385443,-0.01968899853425658,161,151,62,0.0024508767156720085,1046.0,25.0,2.8,3,32.69,True,False,True,False,1
19,-0.0291647700086529,0.5414062693185623,177,125,61,-1.3389445857303448,506.0,27.7,1.6,3,22.78,False,True,False,False,1
23,1.9957106600526484,-0.9815666005676585,182,163,60,0.6284354258571464,1318.0,21.7,2.7,4,44.84,True,False,False,False,2
59,-0.3924797395172596,-1.6228183352565944,161,162,61,0.4197739094766547,1021.0,31.2,2.1,3,28.35,False,False,False,True,2
21,-1.1287980777213693,-1.6228183352565944,171,154,67,-0.5341073082627346,832.0,32.2,2.6,3,21.77,False,False,False,False,1
46,-0.6104687212224236,-0.09984546537037356,181,153,61,1.2246111869442649,1150.0,17.8,2.7,4,20.86,False,False,False,False,3
35,-0.16964655821864777,-0.8212536668954246,196,157,65,0.032259664770027965,440.0,32.4,2.0,2,16.99,False,True,False,False,1
43,-0.74610630983897,-0.9014101337315416,179,124,54,-0.6533424604801583,580.0,26.4,2.6,3,22.45,False,False,True,False,2
51,-1.3952290553610143,-0.09984546537037356,198,137,69,-0.5341073082627346,666.0,33.8,2.1,4,16.86,False,False,False,True,2
27,0.6732441710413201,-0.7410972000593093,183,135,74,1.4630814913791126,1299.0,12.9,3.5,5,32.93,True,False,True,False,3
53,-1.056135083819648,0.14062393513797736,179,127,61,-0.08697548744739586,773.0,21.3,3.7,3,17.11,True,False,True,False,2
31,-0.4457659350451883,-0.18000193220649052,160,144,70,2.118874828574943,1418.0,17.3,2.7,5,22.28,False,False,True,False,3
48,-0.31497254602209046,-0.9014101337315416,160,151,74,-1.9053115587631075,421.0,33.4,1.5,2,25.89,False,False,False,False,1
32,0.5957369775461508,-0.9815666005676585,176,145,60,2.178492404683655,1587.0,14.5,3.5,5,33.55,True,True,False,False,3
25,-0.3973239391107074,0.3810933356463283,160,141,58,-1.1004742812954973,627.0,27.6,2.6,3,20.88,False,False,False,False,1
31,-0.6056245216289755,-0.09984546537037356,189,150,67,1.6419342197052482,1358.0,18.6,2.7,4,19.72,False,False,False,True,3
40,1.593642093796457,-0.5807842663870754,162,162,74,0.18130360504180776,1176.0,21.0,3.6,4,39.12,True,True,False,False,2
57,-0.46514273341898094,-1.6228183352565944,170,129,52,1.4034639152704007,1004.0,15.2,2.7,5,27.7,False,False,True,False,3
38,-0.5910919228486313,-1.4625054015843604,183,131,69,0.6284354258571464,963.0,30.6,2.7,3,25.89,False,True,False,False,2
33,-1.603529637879282,-0.7410972000593093,181,147,66,-0.5639160963170905,786.0,31.9,1.5,4,15.24,False,False,False,True,2
35,-0.16964655821864777,0.5414062693185623,185,125,63,-0.5341073082627346,743.0,28.0,2.3,3,21.88,True,False,False,False,2
41,0.9929613442088937,-0.8212536668954246,172,139,50,-0.3850633679909554,777.0,23.4,3.1,4,35.86,True,False,False,False,2
43,-0.8768996988620685,0.7818756698269131,160,124,66,-0.5341073082627346,663.0,20.1,2.0,3,16.76,True,False,True,False,1
42,-0.964095291544134,-0.01968899853425658,183,142,74,0.3303475453135875,875.0,29.8,1.6,3,18.15,False,False,False,False,1
58,-0.36341454195657136,0.22078040197409435,169,128,57,-1.8755027707087515,363.0,25.2,1.8,2,21.58,False,False,False,False,1
46,1.467692904366807,0.3810933356463283,194,148,54,-0.23601942771917564,864.0,20.9,2.9,2,33.16,True,False,False,True,1
32,-0.5765593240682869,-1.1418795342398924,183,135,54,1.820786948031384,1262.0,16.6,2.7,5,24.72,False,True,False,False,3
18,-1.0319140858524076,0.14062393513797736,187,165,58,-0.17640185161046373,990.0,29.4,2.2,2,17.27,False,False,False,False,1
42,-0.683131715124145,0.14062393513797736,195,141,52,1.5525078555421805,1129.0,16.4,2.7,5,19.65,False,False,False,True,3
24,-0.034008969602100717,0.3009368688102113,175,127,68,-1.1899006454585652,546.0,30.8,1.5,3,23.53,False,False,False,True,1
26,0.15007061494892654,-0.7410972000593093,199,139,72,-0.5341073082627346,751.0,25.6,1.7,2,28.87,False,False,True,False,1
41,-0.07276256634968598,0.8620321366630301,175,133,58,-0.3850633679909554,744.0,21.4,2.8,3,21.53,True,False,False,True,2
18,-0.16964655821864777,-0.3403148658787245,176,158,71,0.032259664770027965,1003.0,32.0,2.2,4,19.42,False,False,True,False,2
25,1.5209790998947357,1.2628144708436133,174,156,67,0.24092118115051966,1150.0,21.4,2.3,3,29.71,True,False,False,False,2
41,-0.901120696829309,-1.3823489347482434,175,169,65,0.5688178497484345,1103.0,31.4,2.0,4,22.89,False,False,True,False,2
28,0.3874363950278825,-0.5006277995509585,174,153,50,-0.5042985202083786,917.0,20.5,3.5,4,29.61,True,False,False,True,2
34,0.09678441942099715,-0.9815666005676585,193,130,51,-1.8456939826543957,416.0,29.1,2.7,2,29.53,False,True,False,False,1
25,0.3825921954344347,-0.9014101337315416,170,159,63,1.999639676357519,1688.0,10.9,3.5,4,31.44,True,True,False,False,3
52,-0.5862477232551832,-0.2601583990426075,160,152,63,1.6121254316508924,1231.0,15.5,2.7,4,21.53,False,False,False,False,3
52,0.019277225925827993,-0.7410972000593093,174,150,50,0.0024508767156720085,936.0,25.7,3.7,3,27.85,True,False,False,False,2
50,-0.8333019025210358,-1.0617230674037754,185,163,74,0.0024508767156720085,924.0,34.3,2.6,3,22.31,False,True,False,False,1
22,1.4047183096519813,-0.09984546537037356,163,153,65,-0.027357911338683948,1052.0,20.5,2.7,3,30.3,True,False,True,False,2
59,-0.9204974952031013,-1.2220360010760094,164,169,64,0.032259664770027965,441.0,29.2,2.3,3,22.15,False,False,False,False,1
56,2.683587002322277,0.4612498024824453,194,126,64,0.09187724087873987,805.0,27.1,2.7,2,40.71,True,False,False,True,1
58,1.4483161059930143,-0.5006277995509585,172,168,61,0.2111123930961637,1106.0,24.6,3.1,3,37.56,True,False,False,False,1
45,-0.6879759147175931,-1.7029748020927113,169,142,65,-0.3254457918822435,735.0,33.1,1.9,4,26.05,False,False,True,False,2
24,-0.6540665175634564,0.5414062693185623,170,165,63,2.118874828574943,1625.0,15.9,2.7,4,18.76,False,False,False,False,3
26,-0.16964655821864777,-0.8212536668954246,177,126,73,-0.29563700382788755,804.0,29.6,3.0,3,29.61,True,False,False,True,2
25,-1.5696202407251452,-0.8212536668954246,193,144,64,0.6880530019658584,1073.0,28.9,2.1,4,15.7,False,False,False,True,2
29,-0.7267295114651777,-0.9014101337315416,198,122,72,-0.17640185161046373,805.0,23.4,2.0,3,22.61,True,False,False,True,2
51,1.7292796824130034,0.4612498024824453,182,157,64,-2.143781863197955,420.0,28.7,3.3,3,34.5,True,False,True,False,1
50,-0.19386755618588822,1.904066205532549,166,139,68,-0.8620039768606501,667.0,25.6,2.0,3,18.12,True,False,True,False,1
40,-0.8429903017079318,0.5414062693185623,198,153,57,1.5823166435965363,1369.0,17.6,2.7,5,17.54,False,False,False,True,3
41,-0.09213936472347793,1.904066205532549,162,168,51,-2.2332082273610228,424.0,27.3,2.5,2,18.66,True,False,False,True,1
54,0.6005811771395987,-0.09984546537037356,171,163,51,1.4332727033247565,1404.0,12.9,3.5,5,23.09,True,False,True,False,3
52,0.2808640039720251,-1.0617230674037754,166,163,59,0.3899651214222988,1020.0,26.6,1.5,3,31.41,False,False,True,False,2
57,0.2324220080375442,-0.8212536668954246,185,149,52,-0.7427688246432262,677.0,31.7,2.0,4,29.87,False,False,True,False,2
39,-0.8817438984555167,-0.9815666005676585,192,136,72,0.5390090616940786,979.0,26.3,1.6,3,21.64,False,True,False,False,2
44,-0.5765593240682869,-1.3823489347482434,196,129,66,0.4495826975310107,819.0,33.1,2.6,4,25.68,False,False,True,False,2
52,0.5763601791723583,0.7818756698269131,174,154,57,1.5525078555421805,1357.0,14.9,3.5,4,25.81,True,False,False,True,3
18,0.6780883706347679,1.663596805024198,161,139,72,1.3736551272160447,1315.0,11.9,3.5,4,23.52,True,True,False,False,3
52,0.4261899917754678,-0.01968899853425658,166,137,53,-0.7427688246432262,685.0,24.4,2.7,4,27.85,True,False,True,False,2
54,-0.16964655821864777,-0.3403148658787245,191,164,63,-2.113973075143599,446.0,20.5,2.8,3,23.74,True,False,False,True,1
31,-1.5163340451972165,-0.9815666005676585,163,163,70,-0.5042985202083786,888.0,25.1,1.9,3,16.52,False,False,False,False,2
20,0.4407225905558119,2.1445356060409,179,146,59,1.2842287630529767,1357.0,14.6,3.5,5,20.88,True,True,False,False,3
18,0.9106099511202768,0.14062393513797736,195,168,50,0.4495826975310107,1303.0,21.3,3.1,2,30.52,True,False,False,True,1
22,-0.5038963301665655,-1.4625054015843604,191,155,53,-0.7129600365888703,790.0,29.5,2.4,4,26.65,False,False,False,False,2
43,0.4407225905558119,1.0223450703352641,187,142,50,-0.11678427550175181,858.0,28.2,3.1,4,24.16,True,False,False,True,2
31,0.629646374700287,-0.09984546537037356,172,151,66,0.09187724087873987,1071.0,28.9,3.3,3,27.96,True,False,True,False,2
56,-0.16964655821864777,1.823909738696432,160,129,66,-0.7725776126975822,639.0,25.2,3.5,2,34.06,True,False,True,False,1
44,1.1818851283533693,0.8620321366630301,194,130,56,0.06206845282438392,824.0,25.7,3.5,4,29.26,True,False,False,False,2
26,0.610269576326495,-0.3403148658787245,189,157,72,2.118874828574943,1701.0,13.3,3.5,5,30.54,True,False,True,False,3
32,0.24211040722443983,-0.8212536668954246,195,125,69,0.06206845282438392,880.0,29.6,3.1,3,29.95,True,False,False,True,1
32,-0.7073527130913854,-0.5006277995509585,184,160,64,-2.2332082273610228,408.0,31.0,1.8,2,21.41,False,False,False,False,1
43,-0.7897041061800031,0.5414062693185623,175,166,62,2.148683616629299,1479.0,17.8,2.7,4,17.88,False,False,False,True,3
59,2.359025629561255,1.3429709376797303,178,153,51,-1.7860764065456838,500.0,20.1,3.1,3,34.24,True,False,False,True,1
30,0.5666717799854619,1.823909738696432,160,155,68,1.0457584586181299,1373.0,10.4,3.5,5,22.43,True,False,False,True,3
49,-1.3758522569872216,0.14062393513797736,164,156,73,-0.0571666993930399,870.0,30.8,2.1,3,14.93,False,False,True,False,2
56,-0.8720554992686204,1.583440338188081,181,136,62,-1.726458830436972,458.0,29.4,3.2,3,15.08,True,False,True,False,1
49,0.4455667901492597,1.823909738696432,183,159,73,1.9400221002488072,1503.0,14.3,3.5,5,21.78,True,False,False,True,3
21,2.49950741777125,-0.5006277995509585,196,159,60,0.36015633336794284,1207.0,29.8,3.4,3,45.43,True,True,False,False,2
47,-0.7315737110586259,0.5414062693185623,195,131,71,0.032259664770027965,837.0,30.3,2.4,4,18.26,False,False,False,True,2
54,0.6054253767330465,1.823909738696432,195,140,64,-0.2658282157735316,811.0,27.9,3.4,2,22.64,True,False,False,True,1
40,-0.4893637313862214,-0.9014101337315416,163,159,59,0.1514948169874518,1041.0,33.4,1.6,3,24.5,False,False,False,False,2
56,-0.20840015496623235,-0.3403148658787245,195,138,58,-1.7860764065456838,451.0,26.5,2.1,2,24.55,True,False,False,True,1
32,-0.15026975984485513,-0.8212536668954246,177,122,58,-0.0571666993930399,756.0,28.4,1.8,2,26.86,False,False,True,False,1
46,-0.6540665175634564,-0.5807842663870754,175,137,69,1.2842287630529767,1042.0,17.3,2.7,4,22.08,False,False,False,False,3
53,0.9929613442088937,1.823909738696432,177,138,50,-1.1004742812954973,608.0,28.6,3.5,3,24.75,True,True,False,False,1
30,-0.16964655821864777,-0.8212536668954246,181,166,66,0.0024508767156720085,1046.0,28.0,2.5,4,30.18,False,False,False,False,2
49,2.019931658019889,1.503283871351964,161,125,61,0.36015633336794284,854.0,29.2,3.2,2,31.61,True,True,False,False,1
24,-0.51842892894691,0.5414062693185623,180,135,59,0.47939148558536665,958.0,27.3,2.3,4,19.63,False,False,False,False,2
39,-0.5620267252879427,-0.6609407332231924,195,127,54,-0.8620039768606501,678.0,27.5,3.2,3,23.05,True,False,False,False,1
45,0.7216861669758009,0.4612498024824453,198,167,67,0.8072881541832821,1265.0,13.2,3.5,4,27.93,True,True,False,False,3
19,0.014433026332380179,0.3810933356463283,198,137,64,0.06206845282438392,877.0,32.5,2.6,3,23.59,False,False,True,False,2
59,-1.1287980777213693,1.823909738696432,188,167,55,-0.5639160963170905,885.0,24.4,3.4,3,13.23,True,False,True,False,1
23,0.46009938892960384,0.6215627361546793,185,162,56,-1.6668412543282602,624.0,29.3,3.1,3,25.65,True,False,True,False,1
45,-0.41185653789105225,0.4612498024824453,180,158,66,0.5986266378027905,1038.0,31.3,2.3,3,20.55,False,False,False,False,1
45,-1.3080334626789485,0.5414062693185623,176,168,55,0.5986266378027905,1214.0,22.9,2.4,3,14.54,True,False,False,True,2
37,1.4483161059930143,1.3429709376797303,175,168,57,-2.143781863197955,499.0,26.4,3.1,2,28.97,True,False,False,False,1
47,-0.5668709248813909,-1.4625054015843604,190,131,61,2.059257252466231,1150.0,16.4,2.7,4,26.1,False,False,False,True,3
28,-1.0464466846327516,-0.9014101337315416,168,164,70,0.18130360504180776,1082.0,27.9,2.0,3,20.06,False,False,False,True,2
45,1.9278918657443755,-0.09984546537037356,190,129,63,-1.2793270096216331,530.0,24.0,2.3,2,38.78,True,False,True,False,1
42,-0.51842892894691,2.064379139204783,173,126,61,0.47939148558536665,886.0,28.5,3.4,4,16.04,True,False,False,True,2
56,-1.60837383747273,0.6215627361546793,196,165,72,-0.08697548744739586,913.0,30.0,2.1,4,12.47,False,False,False,False,2
50,-0.31497254602209046,0.22078040197409435,161,120,59,-1.7562676184913277,362.0,31.8,2.7,3,21.91,False,False,False,False,1
18,-0.17449075781209558,-0.9014101337315416,173,168,71,0.12168602893309584,1201.0,23.9,2.5,2,27.01,True,False,True,False,1
44,-0.19871175577933603,0.22078040197409435,192,155,69,-0.7129600365888703,711.0,27.6,2.1,3,22.69,False,True,False,False,1
30,1.6614608881047306,-0.5006277995509585,194,140,64,-0.5341073082627346,832.0,29.5,2.8,3,39.16,True,False,False,False,2
58,1.7147470836326593,1.503283871351964,198,156,56,0.6880530019658584,1151.0,26.0,2.2,3,29.88,True,False,False,True,2
20,1.327211116156812,1.503283871351964,179,143,58,0.30053875725923157,1070.0,29.3,2.7,3,27.69,True,False,False,False,2
56,0.7216861669758009,1.0223450703352641,161,144,59,0.926523306400706,1119.0,11.0,3.5,4,25.86,True,False,False,False,3
23,0.3535269978737464,0.6215627361546793,178,126,59,0.866905730291994,1074.0,10.7,3.5,4,24.97,True,False,False,False,3
25,-1.4775804484496315,-0.8212536668954246,196,161,65,-0.6533424604801583,837.0,33.6,1.8,4,16.42,False,True,False,False,2
44,-0.7025085134979373,-1.6228183352565944,177,136,56,0.956332094455062,967.0,18.4,2.7,5,25.58,False,False,False,True,3
26,-0.9495626927637899,-1.5426618684204774,175,148,54,-0.3552545799365995,844.0,26.9,1.7,3,23.07,False,False,True,False,1
54,-0.06307416716278967,0.4612498024824453,163,149,72,0.032259664770027965,852.0,27.7,1.8,2,22.82,False,False,False,False,1
50,-1.0900444809737844,-0.09984546537037356,171,126,52,-1.0110479171324296,574.0,28.0,2.4,2,13.03,True,False,False,True,1
59,0.765283963316834,-0.01968899853425658,188,152,67,-0.5341073082627346,813.0,24.5,3.2,3,30.22,True,False,False,True,1
41,-1.0706676825999921,0.6215627361546793,166,126,60,0.032259664770027965,680.0,26.7,2.1,4,15.9,True,False,True,False,2
32,0.6926209694151126,1.2628144708436133,173,143,64,0.7774793661289262,1195.0,11.6,3.5,5,24.87,True,False,False,False,3
49,-1.5308666439775607,-1.6228183352565944,171,130,70,-0.4744897321540226,644.0,28.8,2.2,3,18.18,False,True,False,False,1
49,0.27117560478512875,-0.01968899853425658,194,128,69,0.5986266378027905,925.0,29.9,3.3,3,26.77,True,False,False,True,1
41,-0.4263891366713964,-0.09984546537037356,164,131,54,-0.17640185161046373,778.0,22.5,2.8,3,22.16,True,False,True,False,2
58,-0.5135847293534619,0.4612498024824453,176,154,73,0.956332094455062,1095.0,17.5,2.7,4,19.88,False,True,False,False,3
29,-0.16964655821864777,0.3810933356463283,191,123,61,-1.726458830436972,418.0,33.4,2.6,3,17.94,False,False,False,True,1
56,-1.002848888291719,-0.6609407332231924,169,155,53,-0.4744897321540226,767.0,27.4,2.3,3,19.67,False,False,False,False,2
19,-1.1917726724361943,-0.2601583990426075,176,147,64,-0.6235336724258024,772.0,29.2,2.4,3,17.16,False,False,False,True,1
20,2.644833405574692,0.9421886034991471,164,132,58,-1.2793270096216331,603.0,26.2,2.3,3,37.87,True,True,False,False,1
54,0.4843203868968443,1.102501537171381,168,142,56,0.8370969422376381,1082.0,12.4,3.5,5,24.16,True,True,False,False,3
34,-0.8429903017079318,0.3810933356463283,192,138,59,1.6419342197052482,1249.0,17.3,2.7,5,17.94,False,False,False,False,3
19,0.6877767698216641,0.4612498024824453,195,161,72,0.06206845282438392,1133.0,23.6,3.3,2,27.71,True,False,False,False,1
19,0.5957369775461508,1.0223450703352641,195,156,62,1.194802398889909,1424.0,12.9,3.5,4,25.1,True,False,True,False,3
45,-1.0900444809737844,1.182658004007498,177,158,57,0.5390090616940786,1126.0,26.2,3.4,4,14.61,True,False,False,False,2
40,-0.16964655821864777,-0.09984546537037356,168,143,61,1.820786948031384,1337.0,18.3,2.7,5,19.63,False,False,True,False,3
54,2.0005548596460967,1.583440338188081,188,135,71,-0.17640185161046373,802.0,20.7,2.6,4,31.17,True,True,False,False,2
49,-0.5571825256944946,-0.5006277995509585,173,152,73,0.3303475453135875,937.0,31.3,1.8,3,22.54,False,True,False,False,2
50,-0.799392505366899,1.503283871351964,184,131,68,-0.5042985202083786,707.0,29.5,2.7,4,15.65,True,False,False,True,2
18,-0.26653055008760956,0.6215627361546793,174,153,50,-0.4744897321540226,926.0,25.4,3.3,4,21.02,True,False,False,True,2
36,-0.21324435455968016,-0.5807842663870754,165,126,65,-0.08697548744739586,852.0,27.2,2.7,3,25.42,True,False,True,False,1
19,-0.40701233829760375,-1.6228183352565944,188,130,71,-0.08697548744739586,800.0,30.6,2.4,3,28.22,False,False,False,False,1
43,1.6953702852588666,0.060467468301860394,174,150,66,0.2111123930961637,988.0,28.5,2.2,2,36.29,True,False,False,False,1
49,-1.6277506358465224,-0.5807842663870754,188,148,74,-0.6831512485345144,686.0,34.3,2.5,3,14.69,False,False,False,True,2
23,-1.5357108435710087,-1.1418795342398924,163,132,67,-2.084164287089243,370.0,26.8,1.8,3,16.78,False,True,False,False,1
49,-0.2568421509007132,-1.6228183352565944,177,150,60,0.032259664770027965,979.0,29.4,1.8,4,29.56,False,False,True,False,2
21,0.7168419673823532,-0.9815666005676585,198,121,67,1.3438463391616886,1138.0,12.0,3.5,4,34.53,True,True,False,False,3
28,-0.36825874155001914,1.4231274045158473,175,158,56,-0.23601942771917564,1025.0,24.1,3.0,3,18.28,True,True,False,False,1
34,-0.08245096553658161,-0.6609407332231924,170,134,67,0.0024508767156720085,929.0,21.3,2.1,4,26.73,True,False,False,False,2
55,0.09678441942099715,-0.09984546537037356,173,130,57,-0.6831512485345144,663.0,28.1,2.0,4,25.85,True,False,True,False,2
41,-0.49420793097966953,-1.0617230674037754,162,153,55,1.7313605838683161,1267.0,15.2,2.7,5,25.08,False,True,False,False,3
22,-0.09698356431692642,0.3810933356463283,197,158,56,0.6880530019658584,1177.0,30.3,1.8,3,22.85,False,False,False,True,1
51,-0.7848599065865549,0.3810933356463283,177,123,72,-0.5341073082627346,598.0,31.6,2.1,4,18.32,False,False,False,True,2
23,0.4940087860837406,2.1445356060409,179,130,71,1.5823166435965363,1280.0,11.0,3.5,4,21.16,True,False,False,False,3
39,-0.8575229004882763,-0.09984546537037356,184,148,59,2.059257252466231,1443.0,19.5,2.7,5,19.12,False,False,False,True,3
28,0.6490231730740796,0.3009368688102113,197,121,60,-0.17640185161046373,799.0,28.4,3.5,3,28.09,True,False,False,True,2
33,-0.4021681387041559,-0.09984546537037356,172,135,74,-0.23601942771917564,796.0,29.7,2.5,4,22.33,False,True,False,False,2
50,-1.3661638578003257,-0.42047133271484144,163,158,62,0.032259664770027965,1071.0,24.1,2.8,4,16.28,True,False,False,True,2
26,0.6538673726675274,1.182658004007498,173,132,58,1.3438463391616886,1241.0,11.2,3.5,4,24.91,True,False,False,True,3
23,0.24211040722443983,0.060467468301860394,192,156,56,0.6284354258571464,1147.0,32.3,1.5,4,26.26,False,True,False,False,2
33,0.21304520966375157,-0.09984546537037356,187,136,58,-0.5341073082627346,734.0,26.3,2.1,3,26.67,False,False,False,False,1
